query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5,,query,relevant_ids,retrieved_ids,mrr,precision@1,recall@1,ndcg@1,precision@3,recall@3,ndcg@3,precision@5,recall@5,ndcg@5
What is the minimum age for a child to be held criminally liable?,penal_Article_40,penal_Article_40;penal_Article_113;penal_Article_425,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Galungan?,ceremony_1,ceremony_1;ceremony_2;ceremony_7;ceremony_13;ceremony_12;taboo_1;taboo_21;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
Who is considered a 'Child' under the Penal Code?,penal_Article_150,penal_Article_113;penal_Article_425;penal_Article_291,0,0,0,0,0,0,0,0,0,0,,When does Nyepi happen?,ceremony_3,ceremony_3;taboo_31;ceremony_4;ceremony_19;ceremony_8;ceremony_10;ceremony_2;ceremony_6;ceremony_16;taboo_11,1,1,1,1,0.3333,1,1,0.2,1,1
What are the five main types of principal sentences a judge can impose?,penal_Article_65,penal_Article_115;penal_Article_65;penal_Article_57,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,What should tourists wear to enter a Balinese temple?,ceremony_7;taboo_2,taboo_27;ceremony_7;taboo_2;ceremony_23;ceremony_1;taboo_7;ceremony_4;ceremony_19;ceremony_6;taboo_29,0.5,0,0,0,0.6667,1,0.6934,0.4,1,0.6934
How many years of probation are mandatory for capital punishment?,penal_Article_100,penal_Article_100;penal_Article_76;penal_Article_73,1,1,1,1,0.3333,1,1,0.2,1,1,,What is a penjor?,ceremony_1,ceremony_1;ceremony_6;taboo_28;taboo_26;taboo_21;ceremony_5;taboo_6;ceremony_22;taboo_15;taboo_14,1,1,1,1,0.3333,1,1,0.2,1,1
Why is capital punishment treated as a special sentence rather than a principal one?,penal_Article_67;penal_Article_98,penal_Article_67;penal_Article_125;penal_Article_130,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,What happens during the Day of Silence?,ceremony_3,taboo_31;ceremony_3;taboo_32;taboo_28;taboo_39;ceremony_2;taboo_1;ceremony_5;ceremony_1;ceremony_6,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309
Until when can a criminal complaint be withdrawn by the victim?,,penal_Article_412;penal_Article_411;penal_Article_30,0,0,0,0,0,0,0,0,0,0,,What is Melasti?,ceremony_4,ceremony_4;taboo_14;ceremony_3;taboo_11;ceremony_8;ceremony_22;ceremony_10;ceremony_14;ceremony_13;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
Who has the right to file a complaint if a victim is under 16 years old?,penal_Article_25,penal_Article_25;penal_Article_412;penal_Article_411,1,1,1,1,0.3333,1,1,0.2,1,1,,Why do Balinese cremate their dead?,ceremony_8,ceremony_8;ceremony_9;ceremony_4;ceremony_23;ceremony_1;ceremony_5;ceremony_7;taboo_27;taboo_13;ceremony_10,1,1,1,1,0.3333,1,1,0.2,1,1
How is the term 'Person' defined in the Penal Code?,penal_Article_145,penal_Article_22;penal_Article_145;penal_Article_248,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,What is the Ogoh-Ogoh parade?,ceremony_19;ceremony_3,ceremony_19;ceremony_3;taboo_14;ceremony_7;ceremony_8;ceremony_15;ceremony_21;ceremony_14;ceremony_2;ceremony_10,1,1,0.5,1,0.6667,1,1,0.4,1,1
What items are categorized as 'Goods' under the law?,penal_Article_147,penal_Article_147;penal_Article_614;penal_Article_489,1,1,1,1,0.3333,1,1,0.2,1,1,,Who is the goddess Saraswati?,ceremony_5,ceremony_5;ceremony_6;ceremony_1;ceremony_11;ceremony_3;ceremony_23;ceremony_4;taboo_1;taboo_30;ceremony_16,1,1,1,1,0.3333,1,1,0.2,1,1
What is the maximum imprisonment for standard murder?,penal_Article_458,penal_Article_458;penal_Article_416;penal_Article_599,1,1,1,1,0.3333,1,1,0.2,1,1,,When should tourists stay inside their hotel?,ceremony_3;taboo_31,ceremony_19;ceremony_6;taboo_31;ceremony_1;ceremony_2;ceremony_4;ceremony_16;ceremony_8;taboo_34;ceremony_7,0.3333,0,0,0,0.3333,0.5,0.3066,0.2,0.5,0.3066
How is the sentence affected if a person kills their own parent or spouse?,penal_Article_458,penal_Article_458;penal_Article_460;penal_Article_439,1,1,1,1,0.3333,1,1,0.2,1,1,,What is a Canang Sari offering?,ceremony_7;taboo_11,taboo_11;taboo_15;ceremony_7;ceremony_12;ceremony_2;ceremony_18;ceremony_3;ceremony_5;ceremony_1;ceremony_10,1,1,0.5,1,0.6667,1,0.9197,0.4,1,0.9197
What defines a 'Corporation' according to Indonesian law?,penal_Article_146;penal_Article_45,penal_Article_146;penal_Article_45;penal_Article_527,1,1,0.5,1,0.6667,1,1,0.4,1,1,,Where do Melasti processions go?,ceremony_4,ceremony_4;taboo_14;ceremony_1;ceremony_8;ceremony_2;ceremony_23;ceremony_10;taboo_32;ceremony_7;taboo_35,1,1,1,1,0.3333,1,1,0.2,1,1
What is the penalty for forging a passport or travel document?,penal_Article_398,penal_Article_398;immigration_Article_127;immigration_Article_128,1,1,1,1,0.3333,1,1,0.2,1,1,,Why can't I touch someone's head in Bali?,taboo_21,taboo_21;ceremony_23;taboo_30;taboo_42;taboo_7;taboo_13;ceremony_3;ceremony_6;taboo_41;ceremony_7,1,1,1,1,0.3333,1,1,0.2,1,1
What are the core purposes of sentencing a convict?,penal_Article_51,penal_Article_51;penal_Article_104;penal_Article_75,1,1,1,1,0.3333,1,1,0.2,1,1,,How long does Nyepi last?,ceremony_3,ceremony_3;taboo_31;ceremony_4;ceremony_19;ceremony_14;taboo_1;ceremony_8;ceremony_10,1,1,1,1,0.3333,1,1,0.2,1,1
How long is the time limit to file a complaint for someone living outside Indonesia?,penal_Article_29,penal_Article_29;penal_Article_229;immigration_Article_116,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Ngaben?,ceremony_8,ceremony_8;ceremony_9;ceremony_10;ceremony_13;ceremony_2;ceremony_23;ceremony_14;taboo_21;ceremony_21;taboo_20,1,1,1,1,0.3333,1,1,0.2,1,1
What is the maximum penalty for selling intoxicating drinks to a child?,penal_Article_424,penal_Article_424;penal_Article_503;penal_Article_344,1,1,1,1,0.3333,1,1,0.2,1,1,,Who enforces the rules during Nyepi?,ceremony_3;taboo_33,taboo_31;ceremony_19;ceremony_3;ceremony_4;ceremony_12;ceremony_6;taboo_33;taboo_1;ceremony_23;ceremony_10,0.3333,0,0,0,0.3333,0.5,0.3066,0.2,0.5,0.3066
Who is liable for crimes committed on behalf of a corporation?,penal_Article_47;penal_Article_49,penal_Article_47;penal_Article_46;penal_Article_48,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,Why is the left hand considered impolite?,taboo_23,taboo_23;taboo_1;taboo_26;ceremony_14;ceremony_12;taboo_13;taboo_15;taboo_30;ceremony_10;taboo_21,1,1,1,1,0.3333,1,1,0.2,1,1
What are the specific types of 'additional sentences' a judge can order?,penal_Article_66,penal_Article_66;penal_Article_91;penal_Article_120,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Kuningan?,ceremony_2,ceremony_2;ceremony_14;ceremony_1;ceremony_9;ceremony_7;ceremony_8;taboo_1;ceremony_13;taboo_15;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
How is a convict's prison term calculated if they escape?,penal_Article_63,penal_Article_63;penal_Article_143;penal_Article_131,1,1,1,1,0.3333,1,1,0.2,1,1,,When is Tumpek Kandang celebrated?,ceremony_20,ceremony_20;ceremony_21;ceremony_14;ceremony_13;ceremony_2;ceremony_3;ceremony_15;ceremony_8;ceremony_1;ceremony_5,1,1,1,1,0.3333,1,1,0.2,1,1
When does the authority to prosecute a serious crime like murder expire?,penal_Article_136,penal_Article_136;penal_Article_142;penal_Article_132,1,1,1,1,0.3333,1,1,0.2,1,1,,What is the difference between Galungan and Kuningan?,ceremony_1;ceremony_2,ceremony_2;ceremony_1;ceremony_15;ceremony_7;ceremony_9;ceremony_23;taboo_1,1,1,0.5,1,0.6667,1,1,0.4,1,1
What is the penalty for insulting the honor of the President in public?,penal_Article_218,penal_Article_218;penal_Article_220;penal_Article_219,1,1,1,1,0.3333,1,1,0.2,1,1,,Why is Mount Agung considered sacred?,ceremony_4;taboo_13,taboo_13;ceremony_1;ceremony_4;ceremony_23;taboo_20;ceremony_14;taboo_1;ceremony_8;taboo_26;ceremony_9,1,1,0.5,1,0.6667,1,0.9197,0.4,1,0.9197
Why must a judge prioritize justice over legal certainty if they conflict?,penal_Article_53,penal_Article_53;penal_Article_104;penal_Article_71,1,1,1,1,0.3333,1,1,0.2,1,1,,What is Pagerwesi?,ceremony_6,ceremony_6;ceremony_8;ceremony_5;ceremony_4;ceremony_2;ceremony_9;ceremony_1;taboo_21;ceremony_14;ceremony_13,1,1,1,1,0.3333,1,1,0.2,1,1
What happens to a child under 12 who is suspected of a crime?,penal_Article_41,penal_Article_41;penal_Article_425;penal_Article_453,1,1,1,1,0.3333,1,1,0.2,1,1,,How do Balinese honor their ancestors?,ceremony_10;ceremony_8;ceremony_9,ceremony_1;ceremony_6;ceremony_5;ceremony_8;ceremony_23;ceremony_4;ceremony_7;taboo_27;ceremony_3;ceremony_20,0.25,0,0,0,0,0,0,0.2,0.3333,0.2021
How does pre-trial detention affect the total prison term?,penal_Article_61,penal_Article_467;penal_Article_469;penal_Article_72,0,0,0,0,0,0,0,0,0,0,,Who can attend a Balinese cremation ceremony?,ceremony_8,ceremony_9;ceremony_8;ceremony_16;ceremony_23;taboo_30;taboo_27;ceremony_1;ceremony_4;ceremony_18;ceremony_15,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309
What is the maximum sentence for facilitating sexual acts with a child?,penal_Article_419;penal_Article_422,penal_Article_419;penal_Article_421;penal_Article_420,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,What offerings are made during Saraswati Day?,ceremony_5,ceremony_5;ceremony_6;ceremony_12;ceremony_1;ceremony_4;taboo_39;taboo_31;taboo_41,1,1,1,1,0.3333,1,1,0.2,1,1
What is the minimum passport validity required to enter Indonesia?,,immigration_Article_8;immigration_Article_119;immigration_Article_9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Who is required to have a valid visa to enter Indonesia?,immigration_Article_8,immigration_Article_8;immigration_Article_35;immigration_Article_119,1,1,1,1,0.3333,1,1,0.2,1,1,,,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,mrr,,
Where must every traveler undergo immigration checks upon arrival?,immigration_Article_9,immigration_Article_9;immigration_Article_22;immigration_Article_21,1,1,1,1,0.3333,1,1,0.2,1,1,,,0.76,0.3867,0.24,0.68,0.92,0.9333,0.76,0.8563,0.8644,0.8567,,
Why can an immigration officer search a traveler's luggage or person?,immigration_Article_9,immigration_Article_9;immigration_Article_113;immigration_Article_21,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What are the four main types of visas available under Indonesian law?,immigration_Article_34,immigration_Article_35;immigration_Article_37;immigration_Article_46,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
How is a 'Visit Visa' defined in terms of its allowed purposes?,immigration_Article_38,immigration_Article_38;immigration_Article_41;immigration_Article_34,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
When can a 'Visa on Arrival' be issued at an immigration checkpoint?,immigration_Article_41,immigration_Article_41;immigration_Article_22;immigration_Article_29,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What are the common reasons for an Indonesian visa application to be denied?,immigration_Article_42,immigration_Article_42;immigration_Article_13;immigration_Article_16,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
Who is officially exempt from the requirement to have a visa?,immigration_Article_43,immigration_Article_43;immigration_Article_45;immigration_Article_13,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What is the primary obligation of any foreigner staying in Indonesian territory?,immigration_Article_48,immigration_Article_71;immigration_Article_116;immigration_Article_48,0.3333,0,0,0,0.3333,1,0.5,0.2,1,0.5,,,,,,,,,,,,,,
How does a 'Visit Stay Permit' officially end or expire?,immigration_Article_51,immigration_Article_51;immigration_Article_62;immigration_Article_53,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
Why must a foreigner report a change of address to the immigration office?,immigration_Article_71,immigration_Article_71;immigration_Article_116;immigration_Article_118,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What happens if a foreigner refuses to show their travel documents to an officer?,immigration_Article_116;immigration_Article_71,immigration_Article_133;immigration_Article_116;immigration_Article_71,0.5,0,0,0,0.6667,1,0.6934,0.4,1,0.6934,,,,,,,,,,,,,,
Who is responsible for providing data on foreigners staying at a hotel or lodging?,immigration_Article_117;immigration_Article_72,immigration_Article_72;immigration_Article_117;immigration_Article_110,1,1,0.5,1,0.6667,1,1,0.4,1,1,,,,,,,,,,,,,,
What kinds of 'Administrative Actions' can immigration take against violators?,immigration_Article_75,immigration_Article_76;immigration_Article_75;immigration_Article_77,0.5,0,0,0,0.3333,1,0.6309,0.2,1,0.6309,,,,,,,,,,,,,,
How is a foreigner penalized for overstaying their permit for less than 60 days?,immigration_Article_78,immigration_Article_78;immigration_Article_122;immigration_Article_110,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What is the legal consequence of overstaying a permit for more than 60 days?,immigration_Article_78,immigration_Article_78;immigration_Article_122;immigration_Article_121,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
Where are foreigners held if they are placed under immigration detention?,immigration_Article_1;immigration_Article_83,immigration_Article_83;immigration_Article_85;immigration_Article_13,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,,,,,,,,,,,,,
How long can a foreigner be detained if deportation cannot be immediate?,immigration_Article_85,immigration_Article_85;immigration_Article_110;immigration_Article_102,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What is the maximum prison sentence for entering Indonesia without inspection?,immigration_Article_113,immigration_Article_113;penal_Article_306;immigration_Article_119,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
What is the fine for a foreigner who fails to report a change in their civil status?,immigration_Article_116;immigration_Article_71,immigration_Article_116;immigration_Article_118;immigration_Article_71,1,1,0.5,1,0.6667,1,0.9197,0.4,1,0.9197,,,,,,,,,,,,,,
What is the criminal penalty for staying in Indonesia without any valid visa?,immigration_Article_119;immigration_Article_8,immigration_Article_133;immigration_Article_119;immigration_Article_113,0.5,0,0,0,0.3333,0.5,0.3869,0.2,0.5,0.3869,,,,,,,,,,,,,,
Why is it illegal for a tourist to engage in work while on a visit permit?,immigration_Article_122,immigration_Article_45;penal_Article_339;immigration_Article_133,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
What is the punishment for providing false information to obtain an Indonesian visa?,immigration_Article_123,immigration_Article_123;immigration_Article_127;immigration_Article_126,1,1,1,1,0.3333,1,1,0.2,1,1,,,,,,,,,,,,,,
How does the law punish a foreigner for entering a restricted area without permission?,immigration_Article_125;immigration_Article_48,immigration_Article_125;penal_Article_202;immigration_Article_119,1,1,0.5,1,0.3333,0.5,0.6131,0.2,0.5,0.6131,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,mrr,,,,,,,,,,,,,,,,
,0.76,0.32,0.192,0.68,0.82,0.82,0.76,0.7892,0.7892,0.8167,,,,,,,,,,,,,,,,
